time,moisture0,moisture1,moisture2,moisture3,moisture4
595,0.2,0.94,0.43,0.12,0.03
596,0.2,0.94,0.43,0.12,0.03
597,0.2,0.94,0.43,0.12,0.03
598,0.2,0.93,0.43,0.12,0.03
599,0.2,0.93,0.43,0.12,0.03
600,0.2,0.93,0.43,0.12,0.03
601,0.2,0.93,0.43,0.12,0.03
602,0.2,0.92,0.43,0.12,0.03
603,0.2,0.88,0.43,0.12,0.03
604,0.22,0.9,0.44,0.13,0.04
605,0.2,0.78,0.43,0.12,0.03
606,0.2,0.88,0.44,0.12,0.03
607,0.2,0.86,0.44,0.12,0.03
608,0.2,0.7,0.44,0.12,0.03
609,0.19,0.43,0.44,0.12,0.02
610,0.19,0.53,0.44,0.13,0.03
611,0.2,0.83,0.45,0.13,0.03
612,0.2,0.55,0.44,0.13,0.03
613,0.2,0.57,0.44,0.13,0.03
614,0.2,0.57,0.46,0.15,0.04
615,0.2,0.58,0.45,0.12,0.03
616,0.2,0.58,0.45,0.12,0.03
617,0.2,0.59,0.45,0.12,0.03
618,0.2,0.58,0.45,0.12,0.03
619,0.2,0.59,0.45,0.12,0.03
620,0.2,0.59,0.47,0.11,0.03
621,0.2,0.59,0.48,0.11,0.03
622,0.2,0.59,0.48,0.12,0.03
623,0.2,0.59,0.49,0.12,0.03
624,0.2,0.59,0.49,0.12,0.03
625,0.2,0.57,0.49,0.12,0.03
626,0.19,0.51,0.49,0.12,0.02
627,0.2,0.57,0.49,0.12,0.03
628,0.19,0.53,0.48,0.12,0.02
629,0.2,0.57,0.47,0.12,0.03
630,0.2,0.55,0.47,0.12,0.03
